(248.6, 1.0, 265.9) || Unit (12)
(249.4, 1.0, 266.6) || Unit (14)
(247.9, 1.0, 272.6) || Unit (10)
(249.5, 1.0, 268.0) || Unit (13)
(247.4, 1.0, 268.2) || Unit (11)
(248.3, 1.0, 270.8) || Unit (6)
(246.0, 1.0, 271.3) || Unit (8)
(246.4, 1.0, 269.5) || Unit (5)
(252.7, 1.0, 274.1) || Unit (9)
(249.7, 1.0, 271.0) || Unit (7)
(245.4, 1.0, 267.4) || Unit (2)
(250.5, 1.0, 269.3) || Unit (4)
(244.6, 1.0, 268.8) || Unit
(245.9, 1.0, 268.4) || Unit (3)
(246.6, 1.0, 267.5) || Unit (1)
